id,nome,tipo_edificio,coord_X,coord_Y,capienza
3752,Usman,restaurant,4009315.2851168686,1178185.8321986936,40
3753,I due leccesi,restaurant,4007501.56394256,1179207.6522885556,40
3754,Bar,bar,4010206.1527250833,1182695.0810286738,20
3755,Bar,bar,4010619.316674826,1182715.4507878178,20
3756,Restaurant,restaurant,4008604.969878956,1181021.360384648,40
3757,Bar,bar,4008603.5314721456,1181039.1389431353,20
3758,Restaurant,restaurant,4008677.218393627,1183958.0483189716,40
3759,Gavroche,restaurant,4007447.7829861394,1169310.289167981,40
3760,Naturalmente Gelato,bar,4004631.440093633,1167195.3259437603,20
3761,Roma Antica,restaurant,4004931.0381312775,1167281.0390375608,40
3762,Luna Rossa,restaurant,4003694.9854457877,1166723.756686974,40
3763,Istambul Turkish,fast_food,4003948.377968057,1166579.7818319374,35
3764,Anselmo's,bar,4003533.7635700703,1168110.4903424687,20
3765,La Svolta,restaurant,4009742.958530862,1170745.7987814692,40
3766,Bar,bar,4015327.86373418,1170801.8907936062,20
3767,Peter Bar,bar,4009501.247548755,1177018.9690554023,20
3768,Bar,bar,4009523.708481634,1176878.6493583086,20
3769,Bar,bar,4009480.300667408,1176863.0268488028,20
3770,Bar,bar,4009197.1972155944,1177493.0136717884,20
3771,Lamburghino grill & beer,restaurant,4009967.3998526176,1190128.994880022,40
3772,San Filippo Neri,restaurant,4013465.654127422,1181418.3146600043,40
3773,Ristorante Botto,restaurant,4013339.4939400344,1180008.2314411327,40
3774,Quik Service,restaurant,4013498.019835849,1181308.3502781347,40
3775,Fast_food,fast_food,4013547.3692633547,1181398.6487442323,35
3776,Bar,bar,4004551.5653955084,1180037.4073520494,20
3777,Gnam,restaurant,4004598.4327293797,1180073.7063157454,40
3778,Bar Lucania,bar,4004565.188246123,1180460.500757818,20
3779,La Nuova Mergellina,restaurant,4004443.9744378626,1166665.294955384,40
3780,Pizza Bis,restaurant,4004523.927552968,1166657.605899868,40
3781,Le petit jardin,restaurant,4002603.899531131,1177684.5266511205,40
