id,nome,tipo_edificio,coord_X,coord_Y,capienza
5572,Park,park,4013582.1317642443,1181960.075179855,150
5573,Park,park,4012480.7415086026,1181238.8783775738,150
5574,Park,park,4013771.6428613206,1181060.0677036252,150
5575,Pioppeto di Bovisasca,park,4015419.5824561985,1172220.809743107,150
5576,Parco Villa Litta,park,4014496.215605195,1173912.2976620721,150
5577,Park,park,4014415.7673629657,1173085.1760473012,150
5578,Park,park,4011549.0548145073,1177980.1426524243,150
5579,Park,park,4009859.646296247,1176628.5834965273,150
5580,Parco della Lambretta,park,4008878.127908039,1184398.5468947631,150
5581,Largo Oreste Murani,park,4008387.494037548,1182199.4929814774,150
5582,Park,park,4011197.1480382015,1173038.538428717,150
5583,Giardino di via Giacomo della Porta,park,4014418.4021311137,1179106.9574424492,150
5584,Park,park,4012748.4883961836,1176736.0789292164,150
5585,Duomo di Milano,attraction,4007794.3811174505,1176508.0923613722,50
5586,Tempio della Vittoria,monument,4007882.9142259876,1174583.8578198082,40
5587,Park,park,4011574.6847103317,1173916.6969323275,150
5588,Park,park,4011298.306512658,1174107.4035374175,150
5589,Park,park,4010551.674820126,1181007.9470482466,150
5590,Park,park,4010558.9940433265,1180984.531133478,150
5591,Park,park,4008302.46480421,1180661.5252363253,150
5592,Piazza Insubria,park,4006130.3884023926,1180099.0556992858,150
5593,Piazza Agrippa,park,4003946.5694612535,1175283.5615556142,150
5594,Arco della Pace,attraction,4009489.7985258605,1174325.0688088264,50
5595,Park,park,4010432.419574904,1176033.4568447967,150
5596,Park,park,4003027.1947972244,1165587.8644488216,150
5597,Park,park,4006445.0175974783,1166311.1648190247,150
5598,Park,park,4013643.9368591215,1177840.3887704518,150
5599,Parco Tre Palle,park,4001955.164562079,1185770.9785159498,150
5600,Parco Enrico Mattei,park,4002120.4056698247,1185023.4576212878,150
5601,Park,park,4006896.750910983,1169267.4966683774,150
5602,Park,park,4006302.1603672747,1169186.218896134,150
5603,Piazza Tirana,park,4006028.356603055,1168411.7319349316,150
5604,Park,park,4006347.6372913043,1169550.2305391182,150
5605,Park,park,4006560.6703802412,1169335.4446801108,150
5606,Park,park,4006030.5726141,1175338.2061464968,150
5607,Park,park,4005753.37368478,1173412.5103533186,150
5608,Park,park,4007170.0080766897,1177258.5035218527,150
5609,Parco ex Pozzi,park,4005186.268914063,1166441.537542409,150
5610,Park,park,4004915.848504753,1165240.1894379852,150
5611,"Giardino Comunitario Montello ""Lea Garofalo""",park,4010034.064029222,1175528.359475791,150
5612,Giardino 9 Novembre,park,4006972.326032323,1178362.4138363558,150
5613,Giardino Antonio Custra,park,4007639.0741171,1173747.3020174552,150
5614,Park,park,4010355.0729861474,1176014.1772846328,150
5615,Park,park,4004640.9440034498,1174453.448089405,150
5616,Padiglione Ferroviario,museum,4007715.2121131034,1174035.2325152382,50
5617,Park,park,4005067.263014192,1179911.1452413083,150
5618,Parco Alessandrina Ravizza,park,4005549.1479404806,1176767.6535686876,150
5619,Park,park,4008466.2284498094,1173305.1192620716,150
5620,Giardino Piazzale Bologna,park,4004905.069994091,1180354.2079747121,150
5621,Giardino Roberto Bazlen,park,4006552.934221328,1177232.3370855167,150
5622,Park,park,4007293.4896809338,1179752.123660954,150
5623,Giardino Perego,park,4008841.767436424,1176857.4731850242,150
