id,nome,tipo_edificio,lvl_edificio,dipendenti,coord_X,coord_Y
2322,Osteria Ambrosiana,restaurant,,10,4014529.2026968636,1177294.2285520632
2323,Blue Ginger,restaurant,,10,4006506.3767693983,1171828.7679620176
2324,Sohos,pub,,5,4009723.1338105854,1178099.1773447918
2325,Outback café,pub,,5,4009738.2493445934,1178109.38766698
2326,Carmel,restaurant,,10,4007430.8277622582,1169540.457012781
2327,Palayok - Cucina Filippina,restaurant,,10,4006433.677842959,1169677.3831820618
2328,Camarillo Brillo,pub,,5,4005937.9907885357,1170069.4144429092
2329,Bar Venere,bar,,3,4008525.476849143,1181574.6001549643
2330,Tin Whistle,pub,,5,4005980.0239915475,1170442.123730769
2331,Lo Scoglio sul Naviglio,restaurant,,10,4005977.75360286,1170418.4045228844
2332,Taberna Vasca,restaurant,,10,4005951.649779187,1170206.4684530175
2333,Batik,pub,,5,4006334.4959258502,1179690.8098436797
2334,Pizzeria Piccola Ischia,restaurant,,10,4006259.0373605415,1179620.1330055005
2335,Kapuziner Platz,restaurant,,10,4006600.8333684187,1178331.85684732
2336,Murphy's Pub,pub,,5,4008079.7306631017,1181343.5826346602
2337,Le Coq,pub,,5,4008196.7415376804,1181202.551407089
2338,Frida,pub,,5,4010981.7825051774,1176357.951207259
2339,Fatto Bene Burger,restaurant,,10,4008680.3585821283,1172087.298156693
2340,Mom,pub,,5,4006953.4794984213,1178425.093546467
2341,McDonald's,fast_food,,7,4010177.2474737596,1178549.9714352177
2342,Hashi,restaurant,,10,4011042.8148765163,1175840.2052246868
2343,Zio Provolone,restaurant,,10,4006064.492636723,1166779.8613975907
2344,The Manhattan,pub,,5,4009795.021909461,1175863.8243916447
2345,Titanic,restaurant,,10,4005725.363644284,1171218.9086471598
2346,Burger King,fast_food,,7,4009641.4508554223,1179259.3334482063
2347,Mulligan's,pub,,5,4011296.577190707,1173898.2937941581
2348,The Saints and the Scholars,pub,,5,4011258.119020774,1173867.9111483921
2349,Woodstock,pub,,5,4006138.4581898353,1171827.467667862
2350,Chiringuito,pub,,5,4010605.8945254786,1168818.7254866038
2351,BQ,pub,,5,4010969.403143571,1173501.7213242815
2352,La Fabbrica,restaurant,,10,4010045.9900894715,1176135.8100790337
