id,nome,tipo_edificio,coord_X,coord_Y,capienza
6711,Zara,clothes,4007942.4635736183,1177144.9449825173,30
6712,Zara,clothes,4007800.689875708,1176167.8440632143,30
6713,Carrefour Express,supermarket,4009946.755113751,1180226.6044815285,50
6714,Farmacia Braccio,pharmacy,4009687.0908290897,1178145.3764236076,10
6715,Farmacia Repubblica,pharmacy,4009742.040706305,1177846.7623937668,10
6716,Corneliani,clothes,4008530.4794968693,1176897.3906061538,30
6717,Loro Piana,clothes,4008474.915970687,1176941.762816481,30
6718,Ermenegildo Zegna,clothes,4008519.480780057,1176884.6559334404,30
6719,Farmacia Manzoni,pharmacy,4008508.048058967,1176836.0270955747,10
6720,Farmacia SALVI,pharmacy,4009250.890744479,1176382.3683282912,10
6721,Versace,clothes,4008592.783396866,1177093.12209633,30
6722,Tempio Caffè,tobacco,4008942.3049301654,1177198.8823553945,10
6723,Gucci,clothes,4008247.1773982244,1177174.50088185,30
6724,Brioni,clothes,4008406.861792015,1177084.4528033994,30
6725,Brian & Barry,clothes,4007926.8057232634,1177532.9211159216,30
6726,North Sails,clothes,4007919.4346074383,1177479.809916709,30
6727,WP Store,clothes,4007963.2438444793,1177537.6777216683,30
6728,Antica Farmacia del lazzaretto,pharmacy,4009229.9057104583,1178327.0581999107,10
6729,Farmacia Sant'Eustorgio,pharmacy,4006629.9872133425,1175071.376745906,10
6730,Pharmacy,pharmacy,4011847.8921240987,1194439.0939909103,10
6731,Pharmacy,pharmacy,4011045.7267689393,1194781.3461544132,10
6732,Farmacia Nizza,pharmacy,4012720.855028663,1176804.9734588908,10
6733,Pharmacy,pharmacy,4011977.1326001696,1177037.9370755418,10
6734,coop corsico,supermarket,4004395.8345994987,1165046.7363137025,50
6735,Simply,supermarket,4010801.0473997514,1181137.5512100484,50
6736,Pharmacy,pharmacy,4010747.8319624593,1181040.4240710398,10
6737,U2 Supermercato,supermarket,4009983.0651102597,1181527.6938553406,50
6738,Unes,supermarket,4008010.6836347985,1178554.215681154,50
6739,Il mercato verde,supermarket,4009454.1698525124,1182427.6374455155,50
6740,Carrefour Express,supermarket,4005665.018075504,1180073.28965486,50
6741,Pharmacy,pharmacy,4005760.4194912035,1180693.5191201104,10
6742,Pharmacy,pharmacy,4008961.0049639624,1163346.5984488344,10
6743,Pharmacy,pharmacy,4007751.295631666,1167575.9745568938,10
6744,Acne Studios,clothes,4008679.2047961457,1175890.4703581142,30
6745,Farmacia Lambrate,pharmacy,4009816.66457672,1182422.272888777,10
6746,Pharmacy,pharmacy,4007961.3027462093,1173061.119041614,10
6747,BricoCenter Portello,supermarket,4011697.10530569,1171451.7161300103,50
6748,H&M,clothes,4011669.9222892136,1171175.199461765,30
6749,Zara,clothes,4011664.1927420855,1171262.1307192566,30
6750,Germani Sport,clothes,4007858.390022376,1176955.9052654123,30
6751,Farmacia sociale,pharmacy,4012188.9424364623,1180901.2565528376,10
6752,Farmacia Europa,pharmacy,4012476.780044933,1180946.3979092042,10
6753,Clothes,clothes,4009370.1786663006,1183258.0223263134,30
6754,Farmacia Remotti,pharmacy,4007538.989891243,1178677.5011784753,10
6755,Pharmacy,pharmacy,4006733.2691313983,1177123.7895560272,10
6756,Penny Market,supermarket,4009989.963682155,1182048.6236103366,50
6757,Unes,supermarket,4009975.0802278607,1181909.2756375112,50
6758,Demas,clothes,4004842.46010631,1162568.7133360936,30
6759,Farmacia Tessera,pharmacy,4005057.580616136,1162951.2097991842,10
6760,Carrefour Market,supermarket,4012251.987326049,1170912.512940556,50
6761,Carrefour Express,supermarket,4009468.28231589,1182260.100870057,50
6762,Farmacia Premuda,pharmacy,4007788.512182743,1178677.4627422858,10
6763,Pharmacy,pharmacy,4008477.264262844,1178673.19911011,10
6764,Parashop,pharmacy,4007479.1946880687,1175669.9030779458,10
6765,Del Mare 1911 - Spaccio Aziendale,clothes,4006613.7855227995,1178732.4293065404,30
6766,Reale,pharmacy,4007467.545893048,1176618.7058728116,10
6767,UNES,supermarket,4005794.907966699,1192216.8789088465,50
6768,Less,clothes,4013531.2709296215,1181339.2224393266,30
6769,Pharmacy,pharmacy,4013960.6001382447,1179791.2782154884,10
6770,Viola,clothes,4006420.7225111523,1175162.659658647,30
6771,Pharmacy,pharmacy,4007220.339632053,1175700.0698962344,10
6772,Pharmacy,pharmacy,4010170.758232639,1174494.5866389642,10
6773,Magazzini Firme Outlet,clothes,4007843.5913933734,1176129.0200774844,30
6774,My Auchan,supermarket,4010246.4644575724,1175619.5286442048,50
6775,Sedra Milano Boutique,clothes,4010261.0036418447,1177616.8146851214,30
6776,Farmacia Smeraldo,pharmacy,4009938.302995986,1176487.3372242665,10
6777,Conad di via Gonin,supermarket,4005685.8791996343,1167052.425683365,50
6778,Farmacia Maccioni,pharmacy,4011618.967728093,1176111.1171939818,10
6779,Farmacia Orio,pharmacy,4009893.43019506,1172982.5838205784,10
6780,Carrefour,supermarket,4008388.2802881277,1179392.1872585143,50
6781,Farmacia Formaggia,pharmacy,4009046.6987240324,1178616.1900059143,10
6782,Farmacia Scientifica,pharmacy,4008407.779541682,1179492.1635949507,10
6783,Pharmacy,pharmacy,4008384.770925591,1179793.3997817812,10
6784,U2,supermarket,4009088.7894294383,1178752.1411374197,50
6785,Carrefour Market,supermarket,4010262.838658143,1174014.0689371054,50
6786,Pam,supermarket,4010474.28011882,1180433.1581900537,50
6787,Simply Market,supermarket,4007437.3682542234,1162743.8992382132,50
6788,Farmacia San Celso,pharmacy,4006948.1077177296,1176008.627082555,10
6789,Penny,supermarket,4004355.093493213,1176317.1548725876,50
6790,Farmacia Lodi,pharmacy,4006057.323886004,1178060.6497629418,10
6791,Clothes,clothes,4009223.0066682375,1178833.3340218065,30
6792,Yamamay,clothes,4009946.483588727,1179697.898865752,30
6793,Farmacia,pharmacy,4009323.75952761,1179782.6217255332,10
6794,Bershka,clothes,4010000.252452742,1179695.9271234523,30
6795,United Colors of Benetton,clothes,4009354.125225856,1178912.3486647923,30
6796,Yamamay,clothes,4009267.057979811,1178813.155037628,30
6797,Calzedonia,clothes,4008412.0536589315,1173036.7921055264,30
6798,Yamamay,clothes,4008407.07305336,1173061.3001538222,30
6799,Pharmacy,pharmacy,4008397.353218655,1173127.3145997988,10
6800,NaturaSì,supermarket,4008907.881329003,1178924.1050682927,50
6801,Pharmacy,pharmacy,4009153.3997903317,1179998.7601797057,10
6802,Farmacia Dottor Barni,pharmacy,4011005.851656942,1179631.460135698,10
6803,Pharmacy,pharmacy,4011175.9134005797,1180094.0298615368,10
6804,Pharmacy,pharmacy,4005922.8385703177,1163454.7323281576,10
6805,Farmacia Val Di Sole,pharmacy,4003304.9432221083,1177654.0764781306,10
6806,Unes,supermarket,4003648.458595099,1177663.6477979464,50
6807,Uniqlo,clothes,4008020.948996567,1175910.585392064,30
6808,Farmacia del Giambellino,pharmacy,4006524.325213704,1170462.8748788636,10
6809,Farmacia Biazzi,pharmacy,4006204.1134634293,1169213.4587979745,10
6810,u,supermarket,4014841.669083744,1171002.767140194,50
6811,Simply,supermarket,4014927.333604387,1170651.2826100457,50
6812,Carrefour Market,supermarket,4003308.8260007733,1174294.852723938,50
6813,Farmacia Tacchella,pharmacy,4010129.9756575045,1171145.3767882686,10
